site,latitude,longitude,elevation,dipole_length_ex,dipole_length_ey,azimuth_ex,azimuth_ey,remote,timing,notes,site_name,rx_number,bx_coil,by_coil,ex_n_m,ex_s_m,ey_e_m,ey_w_m,deployed_local,pickup_local,battery_v,r_ns_kohm,r_ew_kohm,v_ns_mv,v_ew_mv,sheet_lat,sheet_lon,sheet_to_header_m,source_photo,legibility,verified
A18,30.72085,-9.550004,642.4,53,53,0,90,,,Notes: high ohm because of limestone. Electric cables swopped in the box. | Map: power line just W | SD 45 | coils Bx 123 By 124,AM_A18 (IgRalen),Lemi 5,123,124,3,50,50,3,2023-03-02 13:30,,12.92,5.5,2.5,3.8,23,30.720810,-9.550020,5,pdf p3 full,0.85,
A19,30.67593,-9.478464,1168.9,52,42,0,90,,,Notes: Electric swopped in the box. | Map: nothing labelled | SD 38 | coils Bx 241 By 243,AM_A19 (Imouzar),Lemi 6,241,243,47,5,3,39,2023-02-27 16:02,,12.97,1.4,1.1,0.2,3.4,30.675860,-9.478440,8,pdf p4 full,0.70,
A20,30.622522,-9.489,810.0,54,54,0,90,,,Notes: Electric cables swopped in the box. | Map: transmission line (2 km) E | SD 79 | coils Bx 123 By 124,Akesri A20,Lemi 5,123,124,4,50,4,50,2023-02-27,,12.78,2.8,3.2,3.4,11.3,30.622500,-9.488970,4,pdf p5 full,0.75,
A21,30.596115,-9.518619,533.1,46.5,52.5,0,90,,,Notes: the station is deployded in a Oasis | Map: power line ~300m N; road ~200m NE; auberge ~100m NW; house ~10m S | SD 55 | coils Bx 129 By 131,Paradise Valley (AM-A21),Lemi 03,129,131,44,2.5,50,2.5,2023-02-27 12:40,,12.88,2.7,1.7,2.8,1.5,30.596085,-9.518618,3,pdf p6 full,0.80,
A22,30.555120,-9.560100,214,49,52.5,0,90,,,"Notes: the resistance is very High because there is a lot of rocks (anthropogenique) | Map: road N; houses 15m NNE and SE; village; power line E | SD 10 | coils Bx 115 By 116 | no A22 in survey.yaml or the archive; the 2023 tables give 30.555147 -9.560067 222 m, Rx 8, 2023-02-26 13:47 to 03-01 10:31 UTC | arms lopsided (46/3, 50/2.5): the logger sat about 3 m from one electrode on each line",AM - A22 (Tamazargout),LEMI:08,115,116,46,3,50,2.5,2023-02-26,,12.75,3,3,12,16,30.555120,-9.560100,,pdf p7 full,0.80,"site identity, sheet_lat, sheet_lon, rx_number, bx_coil, by_coil, arms confirmed (FN007); battery_v 12.75 added from the re-read (written in the Battery # field)"
A23,30.514738,-9.595178,282.4,,51.2,0,90,,,"Notes: The box was pickedup at 27/02/2023 10:08. | Map: hatched line S | SD 59 | coils Bx 123 By 124 | recording ended 2023-02-26 06:07 local, 28 h before the pickup on the sheet | Ex arm unreadable or blank (Ex/N '46', Ex/S '?,5'); Ex left empty",AM- A23 (Alma),Lemi: 6,123,124,46,"?,5",47,4.2,2023-02-24 16:08,2023-02-27 10:08,12.77,1.2,1.5,2.6,12,30.514760,-9.595150,4,pdf p8 full,0.80,
A24,30.485076,-9.558814,606.9,51.5,38.5,0,90,,,"Notes: Electric cables swopped in the box. | Map: low current power line E | SD 22 | coils Bx 241 By 243 | azimuth_ey was 241 in survey.yaml (coil serial shifted into the azimuth column); set to 90 | Ex/N 3.5 was written after a struck 48, and Ex/S 48 over an earlier figure; the 51.5 total is unaffected",AM- A24 (Anounfg),Lemi: 3,241,243,3.5,48,35,3.5,2023-02-24 12:56,,12.77,11,1.5,9.2,6.9,30.485060,-9.558760,5,pdf p9 full,0.75,"bx_coil, by_coil confirmed 241/243; no azimuth written on the sheet (FN008)"
A25,30.443924,-9.55292,222.2,54,55,0,90,,,Notes: Electric swopped in the box. | Map: pumping station (pipes) N; houses (~50m) and road W; houses and river E | SD 39 | coils Bx 115 By 116,AM- A25 (Cite Almohammadi),Lemi N°8,115,116,4,50,50,5,2023-02-21 16:57,,12.83,3.4,2.7,5,4.5,30.443900,-9.552880,5,pdf p10 full,0.75,
A26,30.409971,-9.511137,96.7,54,54,0,90,,,Notes: The station in cemetery. Electrode was polled up and chewed up after 48 houres approximately. | Map: power lines ~580 m | SD 16 | coils Bx 115 By 116,AM_A26 (Alhouda),Lemi N°8,115,116,50,4,50,4,2023-02-23 12:13,,12.93,1.8,2.5,7.4,10.4,30.409980,-9.511130,1,pdf p11 full,0.85,
A27,30.369069,-9.490649,17.7,54,54,0,90,,,"Map: power lines NW, W and E; water pumping E; transmission lines S | SD 57 | coils Bx 129 By 131",AM_A27 (Tikiwine),Lemi 5,129,131,50,4,50,4,2023-02-23 13:49,,12.83,2,1.4,1.3,3,30.369080,-9.490640,1,pdf p12 full,0.85,
A28,30.314837,-9.46386,49.1,54,52,0,90,,,Map: power transformation lines ~400m W and S; airport ~3 km E; water pumping station SE | SD 72 | coils Bx 123 By 124,AM_A28 (Ait Melloul),Lemi N°5,123,124,4,50,2,50,2023-03-07 12:09,,12.93,3.7,3,6.2,23.6,30.314790,-9.463880,6,pdf p13 full,0.85,
A29,30.279858,-9.446402,79.4,54,45,0,90,,,Map: houses N; road W; power transmission lines S and E | SD 63 | coils Bx 129 By 131,AM_A29 (Leglea),Lemi N°6,129,131,50,4,44,1,2023-03-07 10:54,,13.21,2.3,1.5,3.2,8.6,30.279870,-9.446370,3,IMG_1260_2.jpg upper; IMG_1929_2.jpg upper; pdf p14 full; IMG_1476_2.jpg upper,0.85,
A30,30.255815,-9.424831,98.3,51,52,0,90,,,Notes: Sandy soil | Map: power lines on all sides; road S | SD 71 | coils Bx 115 By 116,AM_A30 (Al KHARBA),Lemi N°8,115,116,50,1,49,3,2023-03-05 11:58,,12.9,6,5,15,19,30.255830,-9.424870,4,pdf p15 full,0.85,
A31,30.201844,-9.388719,132.8,48,46.5,0,90,,,Notes: Electric swopped in the box | Map: nothing labelled | SD 26 | coils Bx 115 By 116,AM_A31 (Biougra),Lemi N°8,115,116,43,5,4.5,42,2023-03-01 17:35,,12.93,3.8,4.7,17.6,35.3,30.201860,-9.388730,2,pdf p16 full,0.90,
B01,32.105506,-7.964529,437.8,54,54,0,90,,,Notes: Electric swopped in the box. v = 12.56 At pickup | Map: nothing drawn | SD 51 | coils Bx 115 By 116,B1 (N'Zalt Laaden),Lemi 5,115,116,4,50,4,50,2023-02-14 15:20,,12.79,1.44,1.7,5,10,32.105528,-7.964559,4,IMG_1316_2.jpg upper,0.80,"ex_n_m ex_s_m ey_e_m ey_w_m confirmed (FN009, FN010)"
B02,32.050941,-7.953259,448.4,54.9,54,0,90,,,Notes: Electric swopped in the box. Raining. 12.59 At pickup | Map: railway (1.5 km) W; olives E | SD 46 | coils Bx 241 By 243,AM-B2 (KHIRAT),Lemi 423 N008,241,243,4.9,50,4,50,2023-02-15,,12.72,,1.3,32,9.6,32.050942,-7.953253,1,IMG_1316_2.jpg lower,0.75,"ex_n_m ex_s_m ey_e_m ey_w_m confirmed (FN011, FN012)"
B03,32.023322,-7.946535,447.3,53,53,0,90,,,Map: houses W; power line ~400m N | SD 63 | coils Bx 134 By 136,Sidi Doghmani,Lemi 423 N°: 5,134,136,50,3,50,3,2023-07-19,2023-07-23 10:03,13.1,2.1,2,8.4,5.6,32.023354,-7.946479,6,IMG_1245_2.jpg lower; IMG_0671_2.jpg lower,0.80,
B04,31.963808,-7.961308,467.1,53,53,0,90,,,"Notes: two-line scrawl, partly scribbled over, roughly 'The [signal?] correspondant to this system ... is varying when it gets ... off' | Map: nothing labelled | SD 16 | coils Bx 117 By 118",Souihat_B4,Lemi423 N°14,117,118,50,3,50,3,2023-07-19 12:44,2023-07-23 10:38,12.73,1.6,1.8,12.3,90,,-7.961288,,IMG_1047_2.jpg upper,0.60,
B05,31.926319,-7.936793,505.5,54,54,0,90,,,Notes: The electric cable in the south part was cutted. | Map: power line ~300m N; power transmission line ~300m W | SD 65 | coils Bx 241 By 243,Sidi Bouothmane,Lemi 423 N°13,241,243,4,50,50,4,2023-07-17 16:13,2023-07-20 10:41,12.79,1.9,2.5,11.5,37,31.926312,-7.936805,1,IMG_0167_2.jpg upper; IMG_0176_2.jpg upper,0.80,
B06,31.874208,-7.929313,567.4,48,54,0,90,,,Map: houses ~200m S; road ~20m + power line E | SD 58 | coils Bx 240 By 242,Ouladdaoud B6,Lemi 423 N°?3,240,242,44,4,50,4,2023-07-18,2023-07-23 11:16,12.8,2.7,2.9,17.8,5.3,31.874218,-7.929317,1,IMG_0167_2.jpg lower; IMG_0176_2.jpg lower,0.85,
B07,31.835669,-7.953912,585.8,52,43,0,90,,,Notes: Electric Cables swopped | Map: houses + power line ~400m W | SD 72 | coils Bx 119 By 121,Douar oulad Talha Sghir,Lemi423 N°09,119,121,50,2,5,38,2023-07-18 14:22,2023-07-20 11:17,12.77,2.5,2.4,25.1,3.5,,,,IMG_1245_2.jpg upper; IMG_0671_2.jpg upper,0.70,"ey_e_m ey_w_m confirmed, 5 and 38 (FN013)"
B08,31.793169,-7.975344,490.5,54,54,0,90,,,Map: power line ~300m + road W; house + power line ~100m S | SD 10 | coils Bx 119 By 121 | no unit number in the Rx box,Péage B_8,Lemi 423 N°,119,121,50,4,50,4,2023-07-20 12:??,2023-07-24 10:39,13.02,3.1,2.9,14.9,18,31.793174,-7.975328,2,IMG_0976_2.jpg upper; IMG_1114_2.jpg upper,0.90,
B09,31.756279,-7.9776,464.9,42,51,0,90,,,"Map: telecom tower ~38m N; house W | SD 51 | coils Bx 137 By 138 | Rx box reads 'Lemi 422', no unit number",Dar Ahmedben Oulad/Azzouz B_9,Lemi 422,137,138,37,5,50,1,2023-07-20 14:34,2023-07-24 11:00,12.93,2.3,3.9,30.3,40.9,31.756244,-7.977594,4,IMG_0976_2.jpg lower; IMG_1114_2.jpg lower,0.85,
B10,31.710256,-7.950965,432.9,53,53,0,90,,,Map: power line + road ~400m S | SD 59 | coils Bx 241 By 243,oulad Masoud,Lemi 423 N°4,241,243,50,3,3,50,2023-07-20 16:11,,12.95,3.2,4.5,6.7,12.9,31.710240,-7.950985,3,IMG_1201_2.jpg upper,0.85,"ex_n_m ex_s_m ey_e_m ey_w_m confirmed (FN014, FN015)"
B11,31.650964,-7.948485,463.4,45,53,0,90,,,Map: nothing labelled | SD 39 | coils Bx 137 By 138,Annakhil_B11,Lemi 423 N° 9,137,138,41,4,3,50,2023-07-24 13:14,,12.93,3.1,2.1,6.5,15,31.650944,-7.948277,20,IMG_0284_2.jpg lower; IMG_1067_2.jpg lower,0.85,
B12,31.560112,-8.009214,,50,38,0,90,,,Notes: A refaire !! To be done again | Map: nothing labelled | SD 71 | coils Bx 125 By 126 | no B12 recording; the site was to be redone and never was,Dar Soulaimani,Lemi 423 N°7,125,126,5,45,35,3,2023-07-22 11:44,,12.85,2.3,1.2,8.6,16.8,31.560112,-8.009214,,IMG_1201_2.jpg lower,0.85,"site identity, date, rx_number, bx_coil, by_coil and the A refaire note confirmed (FN016)"
B13,31.536346,-7.994887,565.8,53,55,0,90,,,Map: power line ~100m N; power line ~50m W | SD 72 | coils Bx 119 By 121,RoCad,Lemi 423 N°13,119,121,50,3,50,5,2023-07-24 16:28,,12.96,4.1,3,1.7,2,31.536359,-7.994886,1,IMG_1212_2.jpg upper; IMG_1299_2.jpg upper,0.85,"ex_n_m ex_s_m ey_e_m ey_w_m confirmed (FN017, FN018)"
B14,31.464129,-7.987555,677.6,53,53,0,90,,,Map: road + houses ~100m E | SD 76 | coils Bx 127 By 128,Musée Haut Atlas occidental.,Lemi 423 N°11,127,128,50,3,3,50,2023-07-22 14:15,2023-07-25 10:32,12.9,2.1,5.3,20.9,43.6,31.464171,-7.987536,5,IMG_1509_2.jpg upper; IMG_1466_2.jpg upper,0.85,"ex_n_m ex_s_m ey_e_m ey_w_m confirmed (FN019, FN020)"
B15,31.426023,-7.959777,765.3,54,53,0,90,,,Map: house NW; road ~70m W | SD 46 | coils Bx 112 By 114,Aghouatim,Lemi 423 N°12,112,114,50,4,50,3,2023-07-22,2023-07-25 09:21,12.8,2,2.5,2.5,5.6,31.426031,-7.959800,2,IMG_1509_2.jpg lower; IMG_1466_2.jpg lower,0.85,"ex_n_m ex_s_m ey_e_m ey_w_m confirmed (FN021, FN022)"
B16,31.372618,-7.950477,877.7,42,50,0,90,,,"Map: nothing labelled | SD 79 | coils Bx 240 By 242 | Rx box re-read as 33: the second 3 is flat-topped and its lower bowl sits below the box line, which made it look like a 2; matches header serial 33",Bouzggar_B_16,Lemi 423 N°33,240,242,40,2,47,3,2023-07-23 14:32,2023-07-26 12:12,12.75,3,2.58,1.6,16.4,31.372565,-7.950495,6,IMG_0926_2.jpg upper; IMG_1500_2.jpg upper; IMG_1866_2.jpg upper,0.85,"rx_number corrected 32 -> 33 on IMG_0926_2, confidence about 0.7 (FN023)"
B17,31.328269,-7.945723,998.0,38,41,0,90,,,Map: oued ~100m N; house W; power line + houses S | SD 21 | coils Bx 117 By 118,Zawiyat Bouhita_B17,Lemi 423 N°14,117,118,36,2,39,2,2023-07-23 15:??,2023-07-26 11:44,12.59,4.7,3.9,3.3,3.2,31.328343,-7.947505,169,IMG_0926_2.jpg lower; IMG_1500_2.jpg lower; IMG_1866_2.jpg lower,0.85,
B18,31.300548,-7.99522,1245.0,51,52.5,0,90,,,Map: nothing labelled | SD 22 | coils Bx 134 By 136,Moulay IBrahim B18 (Arguiwen),Lemi 423 N° 5,134,136,47,4,50,2.5,2023-07-23 17:47,2023-07-26 11:00,12.88,3.8,2.2,4.3,2.9,31.300484,-7.995398,18,IMG_0284_2.jpg upper; IMG_1067_2.jpg upper,0.90,
B19,31.24787,-7.985336,1205.6,39,29,0,90,,,"Map: power line + transmission line ~300m N; power lines W and S | SD 65 or 55 | coils Bx 127 By 128 | sheet latitude re-read as 31.247844 (the first decimal is this writer's looped 2, not a 5), 4 m from the header",Asni Centre,Lemi 423 N°7,127,128,35,4,4,25,2023-07-25,,12.97,1.7,2.1,27.9,6.5,31.247844,-7.985308,4,IMG_0115_2.jpg upper; IMG_0604_2.jpg upper,0.85,"ex_n_m ex_s_m ey_e_m ey_w_m confirmed (FN024, FN025); sheet_lat corrected 31.547844 -> 31.247844, the first decimal is this writer's looped 2 (FN026)"
B20,31.181296,-7.942058,1473.2,23,52,0,90,,,Map: oued ~200m N; road (piste) W; house S | SD 38 | coils Bx 125 By 126,Tinihine,Lemi 423 N°11,125,126,21,2,50,2,2023-07-25 14:50,,12.94,5,5.2,5,1.1,31.181004,-7.941928,35,IMG_0115_2.jpg lower; IMG_0604_2.jpg lower,0.85,"ex_n_m ex_s_m confirmed, 21 and 2 (FN027)"
B21,31.142822,-7.901662,1978.0,29,27,0,90,,,Map: nothing labelled | SD 63 | coils Bx 112 By 114,Imlile,Lemi423 N°12,112,114,27,2,25,2,2023-07-25 16:01,,12.83,7.3,4.5,1,11.7,31.142836,-7.901583,8,IMG_1323_2.jpg upper; IMG_1901_2.jpg upper; IMG_1351_2.jpg upper,0.75,"ex_n_m ex_s_m ey_e_m ey_w_m confirmed (FN028, FN029); sheet_lat, sheet_lon, deployed_local checked on IMG_1323_2: transcription stands"
B24,30.976993,-7.920767,1817.5,35,36,0,90,,,Notes: st deployed in a river and in a small Village. Crop on terraces | Map: Toubkal (70m) NW; power line (150m) NE; river W; road 40m SE | SD 46 | coils Bx 121 By 124 | sheet Site line reads AM_B26 (students' March numbering),AM_B26 (Targa),Lemi N°8,121,124,2,33,34,2,2023-03-14 18:41,2023-03-16 15:??,12.81,3.4,5.5,5.2,0.2,30.977030,-7.920750,4,IMG_0915_2.jpg upper,0.80,"ex_n_m ex_s_m ey_e_m ey_w_m confirmed (FN030, FN031); site identity confirmed: Site line AM_B26, Targa = survey B24 (FN032); sheet_lon checked: -7.92075 stands"
B25,30.924173,-7.947415,1953.8,32.5,18,0,90,,,Notes: deployed in a village. The electric Cables are not Connected very well in the box. (Figured out after the pickup). | Map: power lines (300m) E | SD 38 | coils Bx 115 By 116 | sheet Site line reads AM-B27 (students' March numbering),AM-B27 (Tagadirt),Lemi: 3,115,116,32,0.5,2,16,2023-03-14 14:54,2023-03-16 13:33,12.75,5,5.3,18.5,8.2,30.924160,-7.947380,4,IMG_1476_2.jpg lower; IMG_1929_2.jpg lower; IMG_1260_2.jpg lower,0.90,"ex_n_m ex_s_m ey_e_m ey_w_m confirmed; Site line AM-B27, corner code B25 (FN033, FN034)"
B26,30.89115,-7.927481,1656.2,,53,0,90,,,"Notes: st deployed in south of small village (200m) | Map: river and power line (400m) NE | SD 65 | coils Bx 129 By 131 | sheet Site line reads AM_B28 (students' March numbering) | Ex arm unreadable or blank (Ex/N '50', Ex/S ''); Ex left empty | the re-reader reads the 50 cells as whole dipoles and would keep Ey 50 m; Ey 53 here follows the arm-sum reading used for every other site",AM_B28 (Tifkilt),Lemi N° 6,129,131,50,,50,3,2023-03-14 12:45,2023-03-16 12:36,12.75,7,5.5,19.8,9.5,30.891140,-7.927450,3,IMG_0596_2.jpg lower; IMG_0707_2.jpg lower; IMG_1836_2.jpg lower,0.85,"ey_e_m ey_w_m confirmed 50 and 3, ex_s_m confirmed blank (FN036, FN058); the re-reader disputes adding the arms"
B27,30.837877,-7.902012,1218.7,48,53,0,90,,,Map: village (50m) W; river (200m) E | SD 76 | coils Bx 129 By 131 | sheet Site line reads AM-B29 (students' March numbering),AM-B29 (Iguidy),Lemi: 8,129,131,47,1,50,3,2023-03-12 15:32,2023-03-14 11:??,12.81,1.5,2.5,10,1.3,30.837850,-7.902030,3,IMG_0596_2.jpg upper; IMG_0707_2.jpg upper; IMG_1836_2.jpg upper,0.85,ex_n_m ex_s_m ey_e_m ey_w_m confirmed (FN037)
B28,30.791667,-7.917573,1143.3,52.8,33.5,0,90,,,Notes: Mountain Valley- site on a ledge above 40m above river and 40m below road. small trail to site | Map: flowing river 100m W; transmission line 50m E | SD 58 | coils Bx 115 By 116 | sheet Site line reads AM-B30 (students' March numbering); Ey/E reads 30 on all four photos,AM-B30 (Tighariwine),6,115,116,50,2.8,30,3.5,2023-03-12 13:30,2023-03-14 10:40,12.92,3,5.3,5.5,9.2,30.791710,-7.917570,5,IMG_1472_2.jpg lower; IMG_0129_2.jpg lower; IMG_1328_2.jpg lower; IMG_0759_2.jpg lower,0.90,"ex_n_m ex_s_m ey_e_m ey_w_m confirmed; Ey/E is 30, not 50 (FN038, FN039, FN040)"
B29,30.741431,-7.933101,979.5,54,48.5,0,90,,,Notes: station deployed in a river valley. The Northern Cable was potentially broken after the pickup. | Map: transmission power line (500m) NE; river (200m) S | SD 21 | coils Bx 123 By 124 | sheet Site line reads BH-B31 (students' March numbering),BH- B31 (Iguidi),Lemi N°3,123,124,50,4,44,4.5,2023-03-12 11:49,2023-03-14 10:00,12.79,8.5,8.1,24,18,30.741280,-7.933020,18,IMG_0759_2.jpg upper; IMG_0129_2.jpg upper; IMG_1328_2.jpg upper; IMG_1472_2.jpg upper,0.90,ex_n_m ex_s_m confirmed (FN041)
R05,32.219095,-7.881547,479.5,,,0,90,,,"Map: power lines N; road S | SD 57 | sheet dated 06/07/2023, header starts 2023-07-19; R05 is excluded (1 Hz) | arms as written (Ex/N 2, Ex/S 3, Ey/E 50, Ey/W 50) give Ex 5 m and Ey 100 m, which cannot be right; lengths left empty",Remote (Geolab.),Lemi423,,,2,3,50,50,2023-07-06,,12.8,1.3,1,25.7,11.3,,,,IMG_1442_2.jpg upper,0.80,"deployed_local confirmed 06/07/2023 (FN042); arms 2/3/50/50 and the Rx box with no unit number confirmed in passing (FN064, FN065)"
